address	size	data_pointer_count	table_pointer_count
0x822D0040	0x00000018	9	9
0x822D1DC0	0x000001C0	2	2
0x822D1F80	0x00000004	2	2
0x822D2A20	0x00000020	1	1
0x822D2C90	0x00000020	1	1
0x822D2D40	0x00000020	1	1
0x822D2DB0	0x000001C0	1	1
0x822D39C0	0x00000088	1	1
0x822D3AE0	0x0000001C	1	1
0x822D3D78	0x00000054	1	1
0x822D3DD0	0x00000008	1	1
0x822D56F8	0x00000028	1	1
0x822D5720	0x0000003C	1	1
0x822D5760	0x00000024	1	1
0x822D5D98	0x00000014	1	1
0x822D5E18	0x00000014	1	1
0x822D5F88	0x00000014	1	1
0x822D5FA0	0x00000014	1	1
0x822D5FB8	0x00000014	1	1
0x822D5FD0	0x00000014	1	1
0x822D5FE8	0x00000014	1	1
0x822D6000	0x00000014	1	1
0x822D6018	0x00000014	1	1
0x822DAC60	0x0000005C	1	1
0x822DB040	0x00000020	1	1
0x822DB0B0	0x000001C0	1	1
0x822DB690	0x00000160	1	1
0x822DBAA8	0x00000010	1	1
0x822DBB18	0x00000020	1	1
0x822DBC88	0x000001B8	1	1
0x822DD810	0x00000054	1	1
0x822DF608	0x00000020	1	1
0x822DFED8	0x00000020	1	1
0x822DFF58	0x00000290	1	1
0x822E0630	0x00000160	1	1
0x822E0AA0	0x000001B4	1	1
0x822E0CE8	0x0000005C	1	1
0x822E0E70	0x00000008	3	3
0x822E0E78	0x00000014	1	1
0x822E0E90	0x00000030	3	3
0x822E0EC0	0x00000028	3	3
0x822E2510	0x00000020	1	1
0x822E2590	0x00000290	1	1
0x822E2B28	0x00000008	1	1
0x822E32D8	0x00000028	2	2
0x822E3468	0x00000018	2	2
0x822E3488	0x00000010	2	2
0x822EF1B0	0x00000010	1	1
0x822EF700	0x00000008	1	1
0x822EF900	0x00000008	1	1
0x822EFC00	0x00000068	2	2
0x822F0BC8	0x0000001C	1	1
0x822F18D8	0x00000014	1	1
0x822F35B8	0x0000000C	1	1
0x822F36E0	0x0000002C	5	5
0x822F3710	0x00000028	5	5
0x822F3748	0x00000014	5	5
0x822F3760	0x00000024	5	5
0x822F4308	0x00000030	1	1
0x822F5208	0x00000030	1	1
0x822F5238	0x0000001C	1	1
0x822F5258	0x00000014	1	1
0x822F6148	0x00000010	1	1
0x822F61F0	0x00000054	1	1
0x822F63B8	0x00000004	3	3
0x822F63C0	0x00000010	1	1
0x822F6418	0x00000040	1	1
0x822F6458	0x00000008	1	1
0x822F6EA8	0x00000010	2	2
0x822F6F00	0x000000A8	1	1
0x822F6FA8	0x00000008	2	2
0x822F6FB0	0x00000250	1	1
0x822F87D8	0x00000040	1	1
0x822F8818	0x000001F4	1	1
0x822F8C18	0x00000030	1	1
0x822F90E8	0x00000068	1	1
0x822F9150	0x0000000C	1	1
0x822FA350	0x000001C0	1	1
0x822FA510	0x0000071C	1	1
0x822FAF50	0x0000002C	1	1
0x822FAF80	0x00000048	1	1
0x822FB368	0x00000014	1	1
0x822FCCB0	0x00000010	4	4
0x82302998	0x00000100	1	1
0x823032A8	0x00000008	2	2
0x823037D8	0x00000074	2	2
0x82303878	0x00000084	2	2
0x82306C50	0x0000001C	1	1
0x82306C70	0x00000018	1	1
0x82306C88	0x00000018	1	1
0x82306CA0	0x00000028	1	1
0x82306CD0	0x0000002C	1	1
0x82306D50	0x00000028	1	1
0x82306D80	0x00000028	1	1
0x82306DC8	0x0000000C	1	1
0x82306DE8	0x0000000C	1	1
0x82306FB8	0x00000030	1	1
0x82306FE8	0x00000014	1	1
0x823070D8	0x0000000C	1	1
0x823086E0	0x00000018	1	1
0x823086F8	0x00000020	1	1
0x82308718	0x00000024	1	1
0x82308740	0x00000024	1	1
0x82308768	0x00000024	1	1
0x82308790	0x00000020	1	1
0x823087B0	0x00000024	1	1
0x823087D8	0x00000030	1	1
0x82308808	0x00000050	1	1
0x823088B8	0x00000024	1	1
0x823088E8	0x00000038	1	1
0x82308930	0x00000024	1	1
0x82308960	0x00000020	1	1
0x82308980	0x00000020	1	1
0x823089A0	0x00000020	1	1
0x823089C0	0x00000020	1	1
0x82308A68	0x00000020	1	1
0x82308A88	0x0000003C	1	1
0x82319180	0x000000B8	1	1
0x82319608	0x00000014	2	2
0x82319620	0x00000018	1	1
0x82319718	0x00000014	1	1
0x82319730	0x00000014	1	1
0x82319748	0x00000014	1	1
0x8231B990	0x00000034	1	1
0x8231B9C8	0x00000008	1	1
0x8231B9D0	0x00000014	1	1
0x8231B9E8	0x00000008	1	1
0x82320550	0x00000018	1	1
0x82384908	0x00000028	1	1
0x8238AE90	0x00000018	1	1
0x823CAE68	0x00000018	1	1
